,French,English
0,histoire,history
1,chercher,search
2,police,police
3,pensais,thought
4,aide,help
5,genre,kind
6,mois,month
7,laisser,let
8,car,because
9,aucun,no
10,laisse,leash
11,eux,them
12,ville,city
13,chaque,each
14,parlé,speak
15,arrivé,come
16,bébé,baby
17,heures,hours
18,vont,will
19,pendant,while
20,aucune,any
21,place,square
22,parle,speak
23,compris,understood
24,savais,knew
25,voici,here is
26,donner,give
27,type,type
28,leurs,their
29,donné,given
30,train,train
31,corps,body
32,yeux,eyes
33,façon,way
34,dont,whose
35,trouve,find
36,premier,first
37,main,hand
38,côté,side
39,pouvoir,power
40,vieux,old
41,sois,be
42,tiens,here
43,matin,morning
44,tellement,so much
45,enfant,child
46,venez,come
47,devant,in front of
48,demandé,request
49,mis,placed
50,belle,beautiful
51,droit,law
52,aimerais,would like to
53,aujourd'hui,today
54,mari,husband
55,cause,cause
56,enfin,finally
57,eau,water
58,attendez,Wait
59,parti,left
60,nouvelle,new
61,boulot,job
62,arrêter,Stop
63,dirait,would say
64,terre,Earth
65,compte,account
66,fin,end
67,croire,believe
68,gros,large
69,aura,will have
70,filles,girls
71,jouer,to play
72,bureau,office
